annonce_reference,competence_id
186RJZQ,1
186RJZQ,2
186RJZQ,3
187NTTM,4
187NTTM,5
187NTTM,6
187PKTG,7
187PKTG,8
187PKTG,9
187PKTG,10
187PKTG,11
187PKTG,12
187PKTG,2
187PKTG,14
187PKTG,15
187TKLN,2
187TKLN,1
187TKLN,18
187TKLN,19
187TKLN,20
187TKLN,21
187TKLN,22
187TKLN,3
187TKLN,24
187TKLN,25
187TKLN,26
187TKLN,27
187TKLN,28
187TKLN,29
187TKLN,30
187TKLN,31
187TKLN,32
187TKLN,33
187TKLN,34
187TKLN,35
187TKLN,36
187TKLN,37
187TKLN,5
188CNDY,39
188CNDY,2
188CNDY,41
188DDRG,41
188DDRG,43
188DDRG,36
188DDRG,5
188DRJH,2
188DRJH,47
188DRJH,48
188DZJB,49
188DZJB,50
188DZJB,51
188DZJB,52
188DZJB,53
188DZJB,54
188DZJB,55
188DZJB,56
188DZJB,57
188DZJB,58
188DZJB,25
188DZJB,60
188DZJB,61
188DZJB,62
188DZJB,63
188DZJB,64
188DZJB,65
188DZJB,66
188DZJB,67
188DZJB,12
188DZJB,69
188FRTV,70
188FRTV,71
188FRTV,72
188FRTV,73
188FRTV,74
188FRTV,43
188FRTV,76
188FRTV,77
188HKNB,78
188HKNB,79
188HKNB,80
188HKNB,81
188HKNB,82
188HKNB,83
188HKNB,84
188HKNB,85
188HKNB,86
188HKNB,87
188HKNB,88
188HKNB,25
188HKNB,26
188HKNB,91
188HKNB,92
188HKNB,93
188HKNB,30
188HKNB,95
188HKNB,96
188HKNB,97
188HKNB,98
188HKNB,99
188HKNB,100
188HKNB,101
188HKNB,102
188HKNB,103
188HKNB,104
188HKNB,105
188HKNB,106
188HKNB,43
188HKNB,36
188JZNR,1
188JZNR,82
188JZNR,111
188JZNR,60
188JZNR,113
188JZNR,114
188JZNR,99
188JZNR,101
188JZNR,31
188JZNR,118
188JZNR,104
188JZNR,41
188JZNR,43
188JZNR,122
188JZNR,36
188KGQQ,124
188KGQQ,125
188KGQQ,126
188KGQQ,127
188KGQQ,128
188KGQQ,129
188KGQQ,41
188KGQQ,131
188KGQQ,106
188KGQQ,43
188KGQQ,134
