reference,intitule_poste,description,experience,divers
0907189,Développeur Big Data H/F,"POSTE : Développeur Big Data H/F
DESCRIPTION : Contexte : Assurer le pilotage du système et des processus métier associés à l'outil.

Votre mission tourne autour de 4 axes :

-  Apporter une expertise en Big Data pour faciliter la manipulation des données

-  Définir les solutions techniques permettant le traitement massif de données

-  Mettre en place des solutions de stockage de données (SQL, NoSQL, etc.)

-  Veiller la sécurisation et la clarté des pipelines de données pour faciliter l'analyse et la transformation

Activité principale :

-  Assure la création, la maintenance, l'optimisation et la sécurité des bases de données

-  Détecte, propose et suit les optimisations des requêtes SQL, PL/SQL afin de garantir les meilleures performances de nos applications métier

-  Assure le support aux équipes de développement afin d'identifier et proposer des solutions performantes SGBD les mieux adaptées d'un point de vue métier

Activité secondaire :

-  Veille technologique sur les outils utilisés au sein du projet

-  Partage et formation sur les guides de bonnes conduites
PROFIL : 4 à 5 années minimum d'expérience sont attendues sur le rôle

Défini/challenge les solutions et architectures techniques permettant le traitement de volumes importants de pipelines de données suffisamment sécurisés et lisibles pour les Data Analysts et Data Scientists.


Maîtrise des technologies du Big Data permettant le traitement et la manipulation de données

Maîtrise des outils de gestion de code et de déploiement projet

Maîtrise des fondamentaux de l'agilité

Maîtrise des solutions de stockage de données

Maîtrise avancée des langages structurés

Maîtrise avancée des technologies du Big Data permettant le traitement et la manipulation de données

Stack technique du projet :

Informatica, Java, Tableau Server, Oracle, Cascading, Maven, Hive, CEPH, Indexima, Control-M, Git, Jenkins, Ansible, Spark, Terraform

Ref : yj93gnb0wl",Expérience exigée,
1286647,Développeur / Développeuse Big Data (H/F),"Nous recherchons un Data Engineer Sénior pour une mission longue (+6 mois) en régie, dans le secteur de l'énergie. Vous serez intégré(e) à une équipe technique où vous aurez pour rôle principal de concevoir, développer et optimiser des pipelines de données complexes. Vous interviendrez sur des projets stratégiques, avec des enjeux business critiques, nécessitant une manipulation experte des outils ETL et une maîtrise approfondie d?Amazon Web Services (AWS).
Vos missions incluront :
La collecte, la transformation et l?intégration des données en respectant les bonnes pratiques.
La mise en ?uvre d?architectures performantes pour le traitement et la gestion des données.
L?automatisation des workflows ETL pour des volumes importants de données.
La collaboration étroite avec des équipes transverses (BI, Data Science, Développement).
L?analyse et la résolution des problématiques liées à la qualité des données.",Expérience exigée de 5 An(s),
1480816,Data Scientist - Alternance H/F,"POSTE : Data Scientist - Alternance H/F
DESCRIPTION : Venez extraire, analyser et développer des algorithmes complexes dont le Machine Learning. Votre objectif : optimiser le performances des métiers sur le domaine confié.Et si être « DATA Scientist » chez APRIL vous permettait
- De choisir un métier dont vous pourrez être fier : «accompagner et protéger à chaque moment qui compte, simplement» telle est la mission et la raison d'être partagée par l'ensemble de nos collaborateurs,
- De développer votre expertise dans un environnement en pleine transformation, au carrefour de l'innovation et de l'expérience client : notre ambition, être un acteur digital, omnicanal et agile, champion de l'expérience client,
- De vous engager au sein d'une entreprise engagée : nous rejoindre, c'est faire partie d'un Groupe responsable qui agit en entreprise citoyenne en étant mobilisé autour de 4 axes (santé, aidants, éducation et environnement) avec un impact sociétal positif et réel.

Nous nous engageons à promouvoir des emplois respectant la diversité et la différence, ouverts à chacun.VOS FUTURES MISSIONS :1. Gestion des données et support à la décision
- Participer aux ateliers d'expression des besoins internes métiers comprendre leurs problématiques et les traduire de manière analytique
- Collecter et analyser les données internes et externes par l'utilisation de méthodes statistiques pour connaitre et exploiter en continu les évolutions des domaines d'application
- Sélectionner et mettre en oeuvre des algorithmes d'apprentissage automatique pertinents sur les cas d'usage (Machine Learning, Deep Learning etc.)
- Communiquer les résultat et les solutions avec les équipes métiers et instances de direction en veillant à vulgariser les concepts complexes

2. Veille et développement de l'activité
- Maintenir, faire évoluer et documenter les modèles existants en collaboration avec les utilisateurs
- Effectuer une veille sur les nouvelles technologies et solutions digitales de Data Science et expérimenter de nouvelles méthodes de modélisation et Data Science.

Cette opportunité est à pourvoir en Alternance d'ne durée de 12 mois à partir de Septembre 2024Directement rattaché.e à Noémie, Data Scientist, vous rejoindrez notre équipe Lyonnaise, (composée de 10 Collaborateurs).  
Dès votre arrivée, vous bénéficierez d'un parcours d'intégration pour favoriser votre prise de poste.
PROFIL : Vous disposez d'un Bac +5 type Ecole d'Ingénieur avec spécialisation en Statistique ou Informatique Décisionnelle/Master en DATA Science/Statistiques/Econométrie avec spécialisation informatique, big data etc. ET/OU d'une première expérience sur un poste similaire.Vous pourrez également mettre à profit :
- Vos compétences techniques : modélisation, techniques statistiques, gestion de base de données, DATA visualisation, sécurité des données, Bases de données SQL/NoSQL, Langages de programmation (Java, SQL, Python, R, SAS etc.), méthodologie projet DATA Science, méthodes et algorithmes de Machine Learning et de Deep Learning, Pratique d'une langue étrangère,
- Vos compétences transverses : capacité d'analyse, capacité de synthèse, rigueur, orientation client, adaptabilité, capacité d'organisation et de planification, vision globale et appréhension de la complexité, communication orale et écrite, travail en équipe et en transverse, écoute bienveillante et soutenante.

Cette opportunité est faite pour vous ? N'attendez plus pour postuler en nous adressant votre CV accompagné de quelques lignes sur votre projet professionnel et ce qui pourrait vous épanouir aujourd'hui. Ce sera la première étape de notre processus de recrutement.Si vous n'êtes pas sûr(e) que cette offre soit LA bonne, d'autres postes sont à pourvoir, alors n'hésitez pas à consulter notre site carrière et/ou notre page Linkedin ! Compétences : modélisation, capacité d'analyse, adaptabilité, Data Visualisation, rigueur, capacité de synthèse, vision globale et appréhension de la complexité, capacité d'organisation et de planification, orientation client, techniques statistiques, langages de programmation (Ex : Java, SQL, Python, R, SAS etc.), méthodologie projet DATA Science, écoute bienveillante et soutenante, pratique d'une langue étrangère, communication orale et écrite, travail en équipe et en transverse, sécurité des données, gestion de base de données, Bases de données SQL/NoSQL, méthodes et algorithmes de Machine Learning et de Deep Learning",Expérience exigée,
186RJZQ,Data Engineer (H/F),"Weldom, une rencontre évidente
Des défis à relever pour accompagner l'expansion de notre réseau, une digitalisation à orchestrer... Weldom se trouve à l'aube d'une nouvelle ère qui vise à transformer les territoires, en ayant un impact positif sur son écosystème.
Notre ambition : être utile aux autres et au monde en améliorant l'Habitat pour permettre à chacun de mieux vivre chez soi.
Pour y parvenir, la marque a besoin de la force collective et de talents, d'hommes et de femmes prêts à accompagner le développement de l'entreprise que ce soit en magasin, au siège ou dans nos entrepôts.
Et si nous étions faits pour nous rencontrer ?
  TES MISSIONS
En collaboration forte avec nos differents metiers, notre equipe DATA est chargee de proposer des solutions adaptees aux besoins clients, et de delivrer des produits de maniere agile.
Dans ce contexte, voici tes principales missions :
- Definir, deployer et industrialiser les flux de donnees au sein de ton perimetre.
- Être garant de la qualite et l'efficience des developpements de l'equipe et le maintien des solutions existantes (run).
- Participer aux rituels agiles au sein de l'equipe, et faire de la veille technologique.
- Contribuer a la construction de la plateforme data et des services associés.
- Accompagner et acculturer les metiers sur les bonnes pratiques de l'exploitation de la data.
- Collaborer avec des équipes transverses.
 TON PROFIL
Tu es titulaire d'un Bac+5 en informatique, ingénierie, mathématiques ou équivalent, avec au moins 3 ans d'expérience en tant que Data Engineer ou dans un poste similaire, idéalement dans un environnement varié et stimulant, comme celui d'un grand groupe.

Tu es autonome, curieux(se) et proactif(ve), toujours en quête d'optimisation et d'innovation pour améliorer les processus existants. 
Tu maîtrises SQL et possèdes des compétences solides en modélisation conceptuelle pour structurer et organiser les données efficacement. Tu es également à l'aise avec les processus de transfert de données (ETL/ELT), et tu maîtrises des outils comme GitHub, Terraform et Python. Tu sais utiliser des outils de visualisation de données tels que Power BI, Business Object ou Looker pour fournir des analyses claires et pertinentes.

Doté(e) d'un esprit analytique et d'une excellente capacité de synthèse, tu sais vulgariser des concepts techniques complexes et les rendre accessibles à des interlocuteurs non techniques. Tu te démarques par ton relationnel, ta capacité à collaborer avec des équipes variées et ton esprit d'équipe qui te permet de t'intégrer efficacement au sein d'une équipe de 5 personnes (principalement composée de prestataires).
Enfin, tu es force de proposition, capable de challenger les pratiques existantes pour apporter des solutions innovantes. Ton autonomie, ta curiosité et ton dynamisme te permettent de contribuer activement à des projets ambitieux dans un environnement riche et évolutif.
 Processus de recrutement :
1- Un premier échange téléphonique avec un membre de l'équipe RH
2- Une rencontre avec ton futur manager, Julien
3- Un moment autour d'un cas pratique (technique), puis un debrief avec Julien
4- Un second échange avec l'équipe RH (questionnaire PerformanSe)
 Conditions du poste :
- Type de contrat : CDI à temps plein
- Le poste est situé à Breuil-le-sec (60), entre Compiègne et Beauvais, à 1h de Paris et 2h de Lille.
 Nos avantages ?
Chez nous, on porte une attention toute particulière au Partage de l'Avoir, c'est un élément fondateur de nos entreprises. Notre politique de rémunération est le reflet de notre culture et de nos valeurs.
En rejoignant Weldom, tu bénéficies ainsi :
- Intéressement et Participation
- Horaires flexibles
- Télétravail 8 jours par mois
- Restaurant d'entreprise
- CSE
- Possibilité de devenir actionnaire de notre groupe
- Participation à certains frais de transport (75%)
- Accompagnement dans la recherche du logement (via action logement)
- Borne électrique
- Conciergerie",2 An(s),Salaire brut : A NEGOCIER
187NTTM,Développeur/Développeuse Python et Data Engineer (H/F),"Vous avez une expérience en matière Python et en Data Science ?

Nous recherchons notre futur/future développeur/développeuse Python et Data Engineer ! Vous aurez la charge de développer une plateforme de données SQL ainsi que les scripts nécessaires, de développer le site web de la Chaire, de participer à la production d'une publication de référence sur l'offre de soins et de participer aux études statistiques sur le système de santé français dans le cadre de contrat avec des partenaires, notamment sur l'extraction et l'exploitation des données requises.

Rejoignez-nous au sein d'Université Côte d'Azur, reconnue depuis 2016 pour son excellence scientifique et pédagogique, pour créer ensemble le modèle de l'université du 21ème siècle responsable et innovante.

- Vous développerez la plateforme de données SQL ainsi que les scripts nécessaires afin de mettre en place des indicateurs territoriaux systématiques permettant de qualifier l'accès aux soins.
- Vous développerez le site web de la Chaire (ajout de contenu, amélioration ergonomiques, .) et intégrerez un outil permettant de visualiser les indicateurs produits.
- Vous participerez à la production d'une publication sur l'évolution de l'offre de soins en France basée sur l'analyse d'indicateurs statistiques et de cartes géographiques fines.
- Vous participerez aux études statistiques sur le système de santé français dans le cadre de contrat avec des partenaires, notamment sur l'extraction et l'exploitation des données requises.
- Vous réaliserez des extractions de données nécessaires à l'analyse (scrapping, API, CSV, .).
- Vous définirez des règles de la base de données et la qualité des données.

Ce poste est fait pour vous si :

Vous possédez :
- Une appétence au data engineering
- Un intérêt pour les problématiques d'accès aux soins de santé

Vous maîtrisez : 
- Python et la programmation orientée objet

Vous êtes en capacité de : 
- Faire preuve d'adaptation, de rigueur et d'initiative

Rémunération et avantages sociaux :

- Rémunération contractuels (hors variables) : à partir de 2 117,88 € nets (avant PAS), selon profil
- Congés : 45 jours de congés annuels
- Télétravail : 2 jours/semaine
- Prise en charge partielle des frais de transport domicile-travail
- Prise en charge partielle des frais de mutuelle
- Accès aux restaurants et cafétérias du CROUS avec tarif privilégié
- Billetterie loisirs et sorties à tarifs préférentiels",5 An(s),"Salaire brut : A partir de 2 117,88  € nets"
187PKTG,"Responsable de l'Étude  ""Futurs Énergétiques 2050"" (H/F)","Le/la responsable d'étude sera chargé(e) de piloter et coordonner une étude stratégique visant à définir les futurs énergétiques possibles de l'île de La Réunion à l'horizon 2050, avec un objectif de 100 % d'autonomie énergétique. Il s'agira de travailler sur des aspects techniques, économiques, sociaux et environnementaux en lien avec les parties prenantes locales tant sur le volet électrique que le volet transport.
1. Coordination générale du projet :
o Superviser les différentes phases de l'étude : collecte de données, élaboration des scénarii, simulations énergétiques, analyses d'impact.
o Constituer et coordonner les comités de pilotage stratégique, technique et consultatif.
o Garantir le respect des échéances, du budget, et de la qualité des livrables.
2. Gestion des données et analyses :
o Organiser la collecte et l'analyse des données liées aux moyens de production, au réseau électrique et aux gisements d'énergie renouvelable, au secteur du transport et à l'évolution des technologies déployées sur le territoire 
o Superviser l'élaboration de scénarios prospectifs (technologiques, économiques et météorologiques) et du modèle d'équilibre d'évaluation permettant d'atteindre une autonomie énergétique en 2050.
o Veiller à la pertinence des hypothèses techniques et économiques.
3. Pilotage des simulations et modélisations :
o Assurer la robustesse des simulations d'équilibre offre-demande pour le système énergétique à l'horizon 2050 et les comparer avec des modèles d'équilibre existant
o Suivre la spatialisation des capacités de production et stockage des énergies renouvelables et toutes énergies innovantes.



4. Communication et valorisation des résultats :
o Préparer des rapports intermédiaires et un rapport final synthétisant les conclusions de l'étude.
o Organiser des présentations auprès des décideurs et parties prenantes.
o Publier des articles scientifiques pour valoriser les travaux réalisés.
5. Formation et transfert de compétences :
o Développer un outil de simulation appropriable par les équipes locales.
o Former les utilisateurs sur l'utilisation de cet outil et documenter les méthodes employées.

Vous avez une expérience significative (5 ans minimum) en gestion de projets complexes dans le domaine énergétique ou de la transition écologique.

Vous avez une bonne connaissance des enjeux spécifiques aux Zones Non Interconnectées (ZNI) et des dynamiques ultramarines.
",5 An(s) - en gestion de projets énergétiques,Salaire brut : .
187TKLN,Data manager (H/F),"Au sein de l'équipe de Data Manager, les missions principales seront les suivantes : 

-Assurer une supervision quotidienne de l'infrastructure Data de l'IIAS
-Assurer la montée en qualité progressive des données et de l'environnement Data
-Développeur de nouveaux indicateurs de qualité des données
-Accompagner les demandeurs à la compréhension des données extraites
-Réaliser des extractions de données depuis un entrepôt dans le cadre d'études scientifiques
Piloter des réunions et assurer les échanges avec les différents acteurs de projets

Technos recherchées : 
-Maitrise de la gestion de bases de données et des langages associés : SQL, PLSQL, Jinja
-Maîtrise des outils data : Dagster, DBT, Grafana
-Bonne maîtrise des outils de développement (Python, Git, VSCode).
-Être à l'aise avec un environnement UNIX en console et la configuration de serveurs et applications.

L'activité implique des interactions étroites avec des professionnels et chercheurs de multiples domaines : médecins hospitaliers, médecins-chercheurs, professionnels paramédicaux, administratifs hospitaliers, enseignants chercheurs universitaires, industriels et startupeurs.
L'activité nécessite des déplacements régionaux et inter-régionaux",12 Mois,Salaire brut : Pc portableselon qualificati Déplacements : Ponctuels Zone régionale
188CNDY,Ingénieur(e) de base de données (DBA) - Toulouse - (H/F),"Pour quel poste ?

Nous recherchons un(e) ingénieur(e) de Bases de Données (DBA) pour un de nos clients basés sur Toulouse.

Missions principales :

En tant qu'ingénieur(e) de Bases de Données (DBA), vous aurez pour missions :
- Assurer la gestion, la maintenance et l'optimisation des bases de données de niveau 2 et niveau 3
- Garantir la disponibilité, la sécurité et l'intégrité des données
- Participer à la conception et à la mise en œuvre des solutions de sauvegarde et de restauration
- Collaborer avec les équipes de développement pour optimiser les requêtes et améliorer les performances des bases de données
- Surveiller les performances des bases de données et résoudre les incidents

Profil recherché :

De formation Bac+2 à Bac+5, vous justifiez d'une expérience de minimum 5 ans sur un poste similaire.

Compétences techniques souhaitées :

Maîtrise des systèmes de gestion de bases de données (PostgreSQL, SQL Server, Oracle, MySQL, etc.).
Maîtrise des outils d'automatisation (Ansible.) confirmé
Expert en solution HD (cluster, réplication)
Connaissance de Exadata ou RAC Oracle
Compétences en réseau, stockage, sécurité confirmé
Compétences en optimisation de requêtes et en tuning de bases de données
Bonne compréhension des systèmes d'exploitation (Windows, Linux)
Capacité à travailler en équipe et à communiquer efficacement
Rémunération selon profil

Pourquoi nous rejoindre ?

Nous vous offrons un environnement de travail axé sur la proximité et l'accompagnement personnalisé. Dès votre intégration, vous bénéficierez d'une équipe à l'écoute, prête à répondre à vos besoins.

En rejoignant Tech Valley, vous aurez accès à un large portefeuille de projets variés, permettant de multiples opportunités d'évolution.

Que vous soyez en mission chez nous pour une courte durée ou pour toute votre carrière, vous serez soutenu dans votre parcours professionnel.

Nous nous engageons à favoriser l'inclusion de tous les talents, sans distinction, et à promouvoir un environnement de travail respectueux, équitable et solidaire. Nous croyons fermement que la diversité est une richesse qui contribue à la performance collective et à l'innovation.

Votre rémunération sera adaptée à vos compétences et à votre expérience, avec des avantages supplémentaires comme :

- Proximité managériale pour garantir un soutien constant dans vos missions
- Un parcours de développement des compétences personnalisé
- Un suivi régulier de votre évolution de carrière
- Télétravail partiel en fonction des missions
- Statut cadre
- 7 jours de RTT
- Mutuelle avantageuse
- Matériel informatique fourni
- Remboursement partiel des frais de transport

Processus de recrutement :

- Entretien RH avec la IT Ressource Manager
- Entretien avec le Business Manager
- Entretien avec le Responsable de la mission client

Faites confiance à Tech Valley pour booster votre carrière !",5 An(s),Salaire brut : Annuel de 40000.0 Euros à 45000.0 Euros sur 12.0 moisMutuelleCE
188DDRG,Data Engineer (H/F),"WYZ crée des solutions digitales pneumatiques assurant un taux de disponibilité avoisinant les 100%, via deux activités distinctes :

- Le développement de solutions digitales clés en main, standards ou sur-mesure, pour l'achat et la gestion de pneumatiques, à destination de grands comptes du secteur automobile : constructeurs et réseaux d'après-vente.
- L'approvisionnement global et complémentaire en pneus : nos outils web managent l'ensemble des flux des manufacturiers ainsi qu'une solution individualisée de dépannage - grâce à des accords passés avec des grossistes à travers l'Europe - pour un taux de disponibilité proche de 100%.
Ayant accumulé sur ces dernières années une très grande quantité de données jusqu'ici inexploitée, WYZ tend vers une dynamique Big Data & Business Intelligence pour tirer pleinement parti de ses ressources et proposer un service toujours plus pertinent pour ses clients.

MISSIONS

Sous la direction du Product/Data Manager et en collaboration avec le CTO, tes principales missions sont les suivantes :

  -  Développer, maintenir et faire évoluer des Jobs Talend pour la mise en place de flux de transformations de données.

  - Organiser la conception et la mise en œuvre de l'automatisation de flux de data en mode ""Event Driven"", ainsi qu'en Data Intégration.

  - Gérer, maintenir et faire évoluer les catalogues produits de WYZ, d'un point de vue technique et qualitatif.



PROFIL

De formation Bac +5 en informatique, vous disposez d'une première expérience réussie de plusieurs années sur un poste similaire.

Compétences générales :

    Curiosité et analyse : nos données brutes regorgent de potentiels : capacité d'analyse et d'anticipation sont essentiels afin d'extraire le maximum de valeur ajoutée.

    Proactivité : vous êtes l'initiateur d'une démarche qui transformera notre entreprise : prenez les choses en main.

    Capacité d'analyse, de conception et d'algorithmique.

    Maitrise de l'anglais indispensable.

Compétences techniques :

    Maîtrise du langage SQL, de la gestion de bases de données SQL et NoSQL (MySQL / MongoDB).

    Maîtrise d'un ETL (idéalement Talend).

    Connaissance de la conception des Routes, des Bus de données, des Web Services et du Queuing.

VALEURS

Tu souhaites rejoindre une équipe dynamique, réactive, adepte de challenges, et dans laquelle chacun œuvre en autonomie vers un objectif commun ? Tu es à la bonne porte ! 
L'une de nos devises : Jouer collectif !  Cela implique de faire preuve de solidarité dans l'équipe, d'intégrer les nouveaux venus et d'être bienveillants tout en restant exigeants. Chez WYZ, on applique ces notions au quotidien dans notre travail, comme dans les diverses activités mises en place :  babyfoot, moments conviviaux, défis sportifs un peu fous. Tout est réuni pour que chacun puisse s'épanouir professionnellement, mais aussi personnellement !

POUR POSTULER

Réactivité et adaptation se mélangent pour vous faire vivre une expérience candidat agréable et transparente. Après un premier échange téléphonique, vous rencontrerez notre RH et votre manager au cours d'un premier entretien. Si nous nous projetons mutuellement ensemble, un second entretien avec notre DRH et votre N+2 vous sera proposé. Quelle qu'en soit l'issue, nous prenons le temps de vous faire un retour.",3 An(s),Salaire brut : Annuel de 35000.0 Euros à 45000.0 Euros sur 12.0 moisMutuellePrimes Déplacements : Jamais
189FLNN,Ingénieur Cloud Azure (H/F),"Notre client est un Intégrateur Microsoft de premier plan.

Vous embarquez dans une nouvelle aventure humaine et professionnelle au coté de passionnées des technologies Microsoft.

Vous intégrez la communauté Modern WorkPlace pour accompagner des sociétés de tailles intermédiaires de la région dans leur stratégie digitale et les nouvelles manières de concevoir l'environnement utilisateur. 

Poste et missions:

En tant qu'Ingénieur Cloud Azure H/F, votre autonomie et votre force de proposition prendront toute leur ampleur en prenant en charge des missions d'expertise ou des projets de plusieurs centaines de jours.

Vous travaillerez dans une ambiance conviviale, constructive, sereine, laissant une grande place à l'initiative et au développement personnel.

Selon les missions vous serez amené(e) à :

Accompagner leurs clients dans leur stratégie digitale
Animer des ateliers d'architecture technique
Appréhender les besoins fonctionnels et les contraintes techniques
Préconiser des architectures complexes pour répondre à une problématique ou un besoin métier
Définir et améliorer les standards, patterns d'architecture et le catalogue de services
Superviser et mettre en œuvre, dans le cadre des projets, les préconisations techniques établies dans le cadre des cahiers des charges
Rédiger les documents associés (HLD, LLD, etc.)
Piloter des projets et des hommes
Intervenir en toute autonomie sur les phases de cadrage technique et/ou avant ventes
Assurer une veille technologique
Compétences techniques attendues :

Bonne connaissance de la plateforme Azure dans son ensemble et de l'écosystème associé.

Connaissances requises :

Services DATA dans Azure (DataFactory, Azure Synapse, Spark, Hadoop, etc.)
Bases de données (SQL, MYSQL)
Des problématiques de stockage et traitement de la donnée dans Azure (Storage Account, Datalake store, Data Factory, Logic App)
« Securité » de la donnée dans Azure
La connaissance de la gestion des données liées à l'IOT dans Azure est un plus

Conditions du poste : 

Contrat CDI
Salaire proposé : Entre 40k et 55k selon profil + primes
RTT
Télétravail hybride : 2 à 3 jours /semaine
Formation continue
Lieu de travail très agréable. 

Profil recherché  :
De formation BAC+5, vous possédez au minimum 5 ans d'expérience professionnelle et vous justifiez d'une expérience significative dans l'infrastructure informatique en cloud, notamment sur la plateforme Azure.

Bon(ne) communicant(e), vous êtes capable de vous adapter à la fois au travail en équipe et aux projets.

Une certaine aisance orale est indispensable. Un rédactionnel de qualité est obligatoire.

Une bonne maitrise de l'anglais est obligatoire.",4 Mois,Salaire brut : Annuel de 40000.0 Euros à 55000.0 Euros sur 12.0 moisPrimesParticipation/action Déplacements : Jamais
